soc_code,sic_code,byear_grp,name,title_matched,element,daily,weekly
,1,2008,,,,,
,82.99,2009,,,,,
,82.99,2008,,,,,
,96.09,2009,,,,,
,96.09,2008,,,,,
11-3021.00,62.02,2009,Computer consultancy activities,Computer and Information Systems Managers,Public Speaking,0,5.96
11-3021.00,62.02,2009,Computer consultancy activities,Computer and Information Systems Managers,Face-to-Face Discussions,63.05,100
11-3021.00,62.02,2009,Computer consultancy activities,Computer and Information Systems Managers,Contact With Others,57.94,100
11-3021.00,62.02,2009,Computer consultancy activities,Computer and Information Systems Managers,Work With Work Group or Team,78.39,97.19
11-3021.00,62.02,2009,Computer consultancy activities,Computer and Information Systems Managers,Deal With External Customers,17.33,23.88
11-3021.00,63.99,2009,Other information service activities n.e.c.,Computer and Information Systems Managers,Public Speaking,0,5.96
11-3021.00,63.99,2009,Other information service activities n.e.c.,Computer and Information Systems Managers,Face-to-Face Discussions,63.05,100
11-3021.00,63.99,2009,Other information service activities n.e.c.,Computer and Information Systems Managers,Contact With Others,57.94,100
11-3021.00,63.99,2009,Other information service activities n.e.c.,Computer and Information Systems Managers,Work With Work Group or Team,78.39,97.19
11-3021.00,63.99,2009,Other information service activities n.e.c.,Computer and Information Systems Managers,Deal With External Customers,17.33,23.88
11-3021.00,62.02,2008,Computer consultancy activities,Computer and Information Systems Managers,Public Speaking,0,5.96
11-3021.00,62.02,2008,Computer consultancy activities,Computer and Information Systems Managers,Face-to-Face Discussions,63.05,100
11-3021.00,62.02,2008,Computer consultancy activities,Computer and Information Systems Managers,Contact With Others,57.94,100
11-3021.00,62.02,2008,Computer consultancy activities,Computer and Information Systems Managers,Work With Work Group or Team,78.39,97.19
11-3021.00,62.02,2008,Computer consultancy activities,Computer and Information Systems Managers,Deal With External Customers,17.33,23.88
11-3031.01,74.15,2008,Management activities of holding companies,Treasurers and Controllers,Public Speaking,4,12
11-3031.01,74.15,2008,Management activities of holding companies,Treasurers and Controllers,Face-to-Face Discussions,92,100
11-3031.01,74.15,2008,Management activities of holding companies,Treasurers and Controllers,Contact With Others,68,84
11-3031.01,74.15,2008,Management activities of holding companies,Treasurers and Controllers,Work With Work Group or Team,52,92
11-3031.01,74.15,2008,Management activities of holding companies,Treasurers and Controllers,Deal With External Customers,16,48
11-3051.06,35.111,2009,Production of electricity through water power,Hydroelectric Production Managers,Public Speaking,5.78,32.63
11-3051.06,35.111,2009,Production of electricity through water power,Hydroelectric Production Managers,Face-to-Face Discussions,82.93,97.9
11-3051.06,35.111,2009,Production of electricity through water power,Hydroelectric Production Managers,Contact With Others,54.84,93.11
11-3051.06,35.111,2009,Production of electricity through water power,Hydroelectric Production Managers,Work With Work Group or Team,60.59,90.78
11-3051.06,35.111,2009,Production of electricity through water power,Hydroelectric Production Managers,Deal With External Customers,21.14,63.39
11-9031.00,85.143,2008,"School health services, maternal and child health care","Education and Childcare Administrators, Preschool and Daycare",Public Speaking,0.11,11.31
11-9031.00,85.143,2008,"School health services, maternal and child health care","Education and Childcare Administrators, Preschool and Daycare",Face-to-Face Discussions,93.83,93.98
11-9031.00,85.143,2008,"School health services, maternal and child health care","Education and Childcare Administrators, Preschool and Daycare",Contact With Others,97.76,100
11-9031.00,85.143,2008,"School health services, maternal and child health care","Education and Childcare Administrators, Preschool and Daycare",Work With Work Group or Team,54.09,100
11-9031.00,85.143,2008,"School health services, maternal and child health care","Education and Childcare Administrators, Preschool and Daycare",Deal With External Customers,52.16,64.97
11-9031.00,85.327,2008,Early childhood education and care institutions,"Education and Childcare Administrators, Preschool and Daycare",Public Speaking,0.11,11.31
11-9031.00,85.327,2008,Early childhood education and care institutions,"Education and Childcare Administrators, Preschool and Daycare",Face-to-Face Discussions,93.83,93.98
11-9031.00,85.327,2008,Early childhood education and care institutions,"Education and Childcare Administrators, Preschool and Daycare",Contact With Others,97.76,100
11-9031.00,85.327,2008,Early childhood education and care institutions,"Education and Childcare Administrators, Preschool and Daycare",Work With Work Group or Team,54.09,100
11-9031.00,85.327,2008,Early childhood education and care institutions,"Education and Childcare Administrators, Preschool and Daycare",Deal With External Customers,52.16,64.97
11-9031.00,88.911,2009,Nursery schools,"Education and Childcare Administrators, Preschool and Daycare",Public Speaking,0.11,11.31
11-9031.00,88.911,2009,Nursery schools,"Education and Childcare Administrators, Preschool and Daycare",Face-to-Face Discussions,93.83,93.98
11-9031.00,88.911,2009,Nursery schools,"Education and Childcare Administrators, Preschool and Daycare",Contact With Others,97.76,100
11-9031.00,88.911,2009,Nursery schools,"Education and Childcare Administrators, Preschool and Daycare",Work With Work Group or Team,54.09,100
11-9031.00,88.911,2009,Nursery schools,"Education and Childcare Administrators, Preschool and Daycare",Deal With External Customers,52.16,64.97
11-9033.00,85.41,2009,Post-secondary non-tertiary education,"Education Administrators, Postsecondary",Public Speaking,1.76,36.58
11-9033.00,85.41,2009,Post-secondary non-tertiary education,"Education Administrators, Postsecondary",Face-to-Face Discussions,76.52,100
11-9033.00,85.41,2009,Post-secondary non-tertiary education,"Education Administrators, Postsecondary",Contact With Others,62.79,89.36
11-9033.00,85.41,2009,Post-secondary non-tertiary education,"Education Administrators, Postsecondary",Work With Work Group or Team,66.2,88.12
11-9033.00,85.41,2009,Post-secondary non-tertiary education,"Education Administrators, Postsecondary",Deal With External Customers,41.13,56.86
11-9041.00,71.129,2009,Architectural and engineering activities and related technical consultancy,Architectural and Engineering Managers,Public Speaking,1.88,27.06
11-9041.00,71.129,2009,Architectural and engineering activities and related technical consultancy,Architectural and Engineering Managers,Face-to-Face Discussions,90.74,98.4
11-9041.00,71.129,2009,Architectural and engineering activities and related technical consultancy,Architectural and Engineering Managers,Contact With Others,63.52,90.95
11-9041.00,71.129,2009,Architectural and engineering activities and related technical consultancy,Architectural and Engineering Managers,Work With Work Group or Team,89.35,98.41
11-9041.00,71.129,2009,Architectural and engineering activities and related technical consultancy,Architectural and Engineering Managers,Deal With External Customers,51.78,79.42
11-9041.00,74.2,2008,Architectural and engineering activities and related technical consultancy,Architectural and Engineering Managers,Public Speaking,1.88,27.06
11-9041.00,74.2,2008,Architectural and engineering activities and related technical consultancy,Architectural and Engineering Managers,Face-to-Face Discussions,90.74,98.4
11-9041.00,74.2,2008,Architectural and engineering activities and related technical consultancy,Architectural and Engineering Managers,Contact With Others,63.52,90.95
11-9041.00,74.2,2008,Architectural and engineering activities and related technical consultancy,Architectural and Engineering Managers,Work With Work Group or Team,89.35,98.41
11-9041.00,74.2,2008,Architectural and engineering activities and related technical consultancy,Architectural and Engineering Managers,Deal With External Customers,51.78,79.42
11-9041.00,74.201,2008,Architectural activities,Architectural and Engineering Managers,Public Speaking,1.88,27.06
11-9041.00,74.201,2008,Architectural activities,Architectural and Engineering Managers,Face-to-Face Discussions,90.74,98.4
11-9041.00,74.201,2008,Architectural activities,Architectural and Engineering Managers,Contact With Others,63.52,90.95
11-9041.00,74.201,2008,Architectural activities,Architectural and Engineering Managers,Work With Work Group or Team,89.35,98.41
11-9041.00,74.201,2008,Architectural activities,Architectural and Engineering Managers,Deal With External Customers,51.78,79.42
11-9041.01,72.11,2009,Research and experimental development on biotechnology,Biofuels/Biodiesel Technology and Product Development Managers,Public Speaking,0,15.53
11-9041.01,72.11,2009,Research and experimental development on biotechnology,Biofuels/Biodiesel Technology and Product Development Managers,Face-to-Face Discussions,88.77,93.94
11-9041.01,72.11,2009,Research and experimental development on biotechnology,Biofuels/Biodiesel Technology and Product Development Managers,Contact With Others,37.21,71.26
11-9041.01,72.11,2009,Research and experimental development on biotechnology,Biofuels/Biodiesel Technology and Product Development Managers,Work With Work Group or Team,54.35,98.26
11-9041.01,72.11,2009,Research and experimental development on biotechnology,Biofuels/Biodiesel Technology and Product Development Managers,Deal With External Customers,17.14,29.59
11-9081.00,55.23,2008,Other provision of lodgings n.e.c.,Lodging Managers,Public Speaking,30.6,61.24
11-9081.00,55.23,2008,Other provision of lodgings n.e.c.,Lodging Managers,Face-to-Face Discussions,91.74,91.74
11-9081.00,55.23,2008,Other provision of lodgings n.e.c.,Lodging Managers,Contact With Others,89.2,100
11-9081.00,55.23,2008,Other provision of lodgings n.e.c.,Lodging Managers,Work With Work Group or Team,79.67,100
11-9081.00,55.23,2008,Other provision of lodgings n.e.c.,Lodging Managers,Deal With External Customers,69.06,79.86
11-9121.02,15.98,2008,Production of mineral waters and soft drinks,Water Resource Specialists,Public Speaking,0,9.09
11-9121.02,15.98,2008,Production of mineral waters and soft drinks,Water Resource Specialists,Face-to-Face Discussions,70,95
11-9121.02,15.98,2008,Production of mineral waters and soft drinks,Water Resource Specialists,Contact With Others,27.27,81.82
11-9121.02,15.98,2008,Production of mineral waters and soft drinks,Water Resource Specialists,Work With Work Group or Team,47.37,100
11-9121.02,15.98,2008,Production of mineral waters and soft drinks,Water Resource Specialists,Deal With External Customers,22.73,59.09
11-9121.02,63.229,2008,Other supporting water transport activities,Water Resource Specialists,Public Speaking,0,9.09
11-9121.02,63.229,2008,Other supporting water transport activities,Water Resource Specialists,Face-to-Face Discussions,70,95
11-9121.02,63.229,2008,Other supporting water transport activities,Water Resource Specialists,Contact With Others,27.27,81.82
11-9121.02,63.229,2008,Other supporting water transport activities,Water Resource Specialists,Work With Work Group or Team,47.37,100
11-9121.02,63.229,2008,Other supporting water transport activities,Water Resource Specialists,Deal With External Customers,22.73,59.09
11-9131.00,64.11,2008,National post activities,Postmasters and Mail Superintendents,Public Speaking,15.38,78.21
11-9131.00,64.11,2008,National post activities,Postmasters and Mail Superintendents,Face-to-Face Discussions,91.52,100
11-9131.00,64.11,2008,National post activities,Postmasters and Mail Superintendents,Contact With Others,95.92,100
11-9131.00,64.11,2008,National post activities,Postmasters and Mail Superintendents,Work With Work Group or Team,65.91,100
11-9131.00,64.11,2008,National post activities,Postmasters and Mail Superintendents,Deal With External Customers,78.52,89.58
11-9141.00,41.109,2009,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,41.109,2009,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,41.109,2009,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,41.109,2009,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,41.109,2009,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,68.209,2009,Other letting of real estate,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,68.209,2009,Other letting of real estate,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,68.209,2009,Other letting of real estate,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,68.209,2009,Other letting of real estate,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,68.209,2009,Other letting of real estate,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,68.31,2009,Real estate agencies,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,68.31,2009,Real estate agencies,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,68.31,2009,Real estate agencies,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,68.31,2009,Real estate agencies,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,68.31,2009,Real estate agencies,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,68.32,2009,Management of real estate on a fee or contract basis,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,68.32,2009,Management of real estate on a fee or contract basis,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,68.32,2009,Management of real estate on a fee or contract basis,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,68.32,2009,Management of real estate on a fee or contract basis,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,68.32,2009,Management of real estate on a fee or contract basis,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,70.112,2008,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,70.112,2008,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,70.112,2008,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,70.112,2008,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
11-9141.00,70.112,2008,Other development and sale of real estate,"Property, Real Estate, and Community Association Managers",Deal With External Customers,45,75
11-9141.00,70.202,2008,Other letting of own property,"Property, Real Estate, and Community Association Managers",Public Speaking,0,0
11-9141.00,70.202,2008,Other letting of own property,"Property, Real Estate, and Community Association Managers",Face-to-Face Discussions,84.21,100
11-9141.00,70.202,2008,Other letting of own property,"Property, Real Estate, and Community Association Managers",Contact With Others,75,95
11-9141.00,70.202,2008,Other letting of own property,"Property, Real Estate, and Community Association Managers",Work With Work Group or Team,40,85
